id,condition,area,popping_frame,max_focis,area_focis,first_focis_frame,last_max_focis_frame,first_max_focis_frame,max_focis_duration_frame,max_focis_duration_min,diff_last_max_focis_first_focis_frame,diff_first_max_focis_first_focis_frame,diff_popping_time_first_max_focis_frame,diff_popping_time_last_max_focis_frame,diff_last_max_focis_first_focis_min,diff_first_max_focis_first_focis_min,diff_popping_time_last_max_focis_min,diff_popping_time_first_max_focis_min,bin_prey_area
Citrobacter-1-1dd3cd6c-c5f4-43e2-b535-2b0a199e1e5f-12,Citrobacter,5.44994830488189,63,3,1.8166494349606301,15,66,31,35,280,51,16,32,-3,408,128,-24,256,"[4.073, 6.571]"
Citrobacter-2-a057c675-0250-4ca4-b3ae-80e6cdde12ca-8,Citrobacter,3.8888473213171872,46,4,0.9722118303292968,2,47,38,9,72,45,36,8,-1,360,288,-8,64,"[2.598, 4.073)"
Citrobacter-2-f9c162b7-5af1-49e3-a57b-e1c5be7a13be-24,Citrobacter,4.500171002392972,43,3,1.5000570007976572,2,42,42,0,0,40,40,1,1,320,320,8,8,"[4.073, 6.571]"
Citrobacter-5-001e3658-8fde-4ef9-acb7-a8d91236b8e1-1,Citrobacter,3.2874531752101355,39,6,0.5479088625350226,6,39,38,1,8,33,32,1,0,264,256,0,8,"[2.598, 4.073)"
Citrobacter-5-001e3658-8fde-4ef9-acb7-a8d91236b8e1-2,Citrobacter,3.7463694583180804,48,7,0.5351956369025829,3,54,54,0,0,51,51,-6,-6,408,408,-48,-48,"[2.598, 4.073)"
Citrobacter-5-001e3658-8fde-4ef9-acb7-a8d91236b8e1-3,Citrobacter,4.9129430585772,28,10,0.49129430585772005,2,31,29,2,16,29,27,-1,-3,232,216,-24,-8,"[4.073, 6.571]"
Citrobacter-5-001e3658-8fde-4ef9-acb7-a8d91236b8e1-4,Citrobacter,5.3644874441112655,42,9,0.5960541604568073,10,58,53,5,40,48,43,-11,-16,384,344,-128,-88,"[4.073, 6.571]"
Citrobacter-5-001e3658-8fde-4ef9-acb7-a8d91236b8e1-6,Citrobacter,4.5886208996201425,48,7,0.655517271374306,3,40,40,0,0,37,37,8,8,296,296,64,64,"[4.073, 6.571]"
Citrobacter-5-001e3658-8fde-4ef9-acb7-a8d91236b8e1-7,Citrobacter,4.873711397699648,13,5,0.9747422795399295,2,99,78,21,168,97,76,-65,-86,776,608,-688,-520,"[4.073, 6.571]"
Citrobacter-5-0c1ffc9c-c054-4fbf-a356-6153d599588e-1,Citrobacter,3.8206497485812347,25,5,0.7641299497162469,3,56,56,0,0,53,53,-31,-31,424,424,-248,-248,"[2.598, 4.073)"
