max_focis,n,diff_last_max_focis_first_focis_min_mean,diff_last_max_focis_first_focis_min_sd,diff_last_max_focis_first_focis_min_median,diff_last_max_focis_first_focis_min_mad,diff_last_max_focis_first_focis_min_CV,diff_first_max_focis_first_focis_min_mean,diff_first_max_focis_first_focis_min_sd,diff_first_max_focis_first_focis_min_median,diff_first_max_focis_first_focis_min_mad,diff_first_max_focis_first_focis_min_CV,diff_popping_time_last_max_focis_min_mean,diff_popping_time_last_max_focis_min_sd,diff_popping_time_last_max_focis_min_median,diff_popping_time_last_max_focis_min_mad,diff_popping_time_last_max_focis_min_CV,diff_popping_time_first_max_focis_min_mean,diff_popping_time_first_max_focis_min_sd,diff_popping_time_first_max_focis_min_median,diff_popping_time_first_max_focis_min_mad,diff_popping_time_first_max_focis_min_CV,area_focis_mean,area_focis_sd,area_focis_median,area_focis_mad,area_focis_CV,popping_frame_mean,popping_frame_sd,popping_frame_median,popping_frame_mad,popping_frame_CV,first_focis_frame_mean,first_focis_frame_sd,first_focis_frame_median,first_focis_frame_mad,first_focis_frame_CV,last_max_focis_frame_mean,last_max_focis_frame_sd,last_max_focis_frame_median,last_max_focis_frame_mad,last_max_focis_frame_CV,first_max_focis_frame_mean,first_max_focis_frame_sd,first_max_focis_frame_median,first_max_focis_frame_mad,first_max_focis_frame_CV,max_focis_duration_min_mean,max_focis_duration_min_sd,max_focis_duration_min_median,max_focis_duration_min_mad,max_focis_duration_min_CV,area_mean,area_sd,area_median,area_mad,area_CV
3,12,293.3333333333333,91.93410024511464,308,118.60799999999999,0.31341170538107266,210.66666666666666,91.99736491614938,224,112.6776,0.4366963524500762,38,21.87568180755641,36,17.7912,0.5756758370409581,120.66666666666667,55.891670111733,116,59.303999999999995,0.46319063628508006,1.3633490312022496,0.3114075747845784,1.3037547400692362,0.279321602895484,0.22841368399254897,58,9.253991767684022,58,10.3782,0.15955158220144866,16.583333333333332,4.461111425588376,16,4.4478,0.26901174425658553,53.25,8.486620485960668,52,11.8608,0.15937315466592802,42.916666666666664,8.712147562542496,42.5,5.9304,0.20300149660293196,82.66666666666667,46.56439008773146,76,53.373599999999996,0.5632789123515902,4.090047093606748,0.9342227243537352,3.911264220207708,0.8379648086864517,0.22841368399254897
4,32,266.6666666666667,54.798271639830425,264,47.4432,0.20549351864936408,215.2,71.53412496482193,208,71.1648,0.33240764388857774,29.866666666666667,18.06450765400511,32,23.7216,0.6048384259153496,81.33333333333333,45.16126913501277,72,35.5824,0.5552615057583538,1.1004913865945596,0.26075363635564625,1.0431716125843045,0.25293461570632364,0.23694291434896297,49.766666666666666,7.536958745172803,48.5,8.1543,0.15144592254198533,12.375,5.63256659539973,11,4.4478,0.455156896597958,46.03333333333333,7.184673982157093,45,7.412999999999999,0.15607546666525185,39.6,10.122014246867721,41.5,9.636899999999999,0.2556064203754475,51.46666666666667,43.65044008415299,44,23.7216,0.848130312515926,4.401965546378238,1.043014545422585,4.172686450337218,1.0117384628252946,0.23694291434896297
5,50,265.14285714285717,69.16646586316233,272,71.1648,0.2608649035787372,239.3469387755102,63.97576071594361,232,59.303999999999995,0.2672929975342119,37.224489795918366,24.795215689492103,32,23.7216,0.6660995442900839,63.02040816326531,34.857142857142854,56,23.7216,0.5531088082901554,0.9387449365313569,0.2766968635950155,0.8755959132000999,0.2303383903624445,0.2947519105854298,50.55102040816327,8.727497790723,50,5.9304,0.17264731196827895,12.62,5.15431263851061,12.5,5.1891,0.4084241393431545,45.89795918367347,8.483427221056711,45,7.412999999999999,0.18483234052102215,42.673469387755105,8.332636025247455,42,8.8956,0.19526502402540663,25.79591836734694,32.34255426410429,16,23.7216,1.2537857270103718,4.693724682656785,1.3834843179750773,4.3779795660005,1.1516919518122228,0.29475191058542977
6,29,262.3448275862069,67.45595169233928,240,47.4432,0.25712705035197675,234.20689655172413,60.015104831048774,224,59.303999999999995,0.2562482391196134,48.275862068965516,37.24714423542537,40,23.7216,0.7715479877338112,76.41379310344827,42.309672350234955,72,35.5824,0.5536915605400784,0.7945383389277019,0.17836707484920558,0.7868570070821602,0.16723468196473615,0.22449146392347455,49.3448275862069,9.835343926258158,48,8.8956,0.1993186400150151,10.517241379310345,4.679901476795459,9,4.4478,0.44497423877727316,43.310344827586206,9.6551372272406,41,10.3782,0.22292912387737054,39.793103448275865,8.865580757484965,41,11.8608,0.2227918907860173,28.137931034482758,29.904280794766102,32,47.4432,1.062774685108109,4.767230033566212,1.0702024490952335,4.7211420424929615,1.003408091788417,0.22449146392347455
7,38,298.22222222222223,72.7355723979917,280,35.5824,0.2438972248814923,278.6666666666667,64.86557528568491,272,47.4432,0.2327712031782951,43.77777777777778,26.463032016230933,48,23.7216,0.6044855029088284,63.333333333333336,36.55446034930035,56,23.7216,0.5771756897257949,0.7972496986586988,0.18084187984772673,0.7659577623191584,0.17027671487048301,0.22683217083929538,52.166666666666664,11.188003779559095,49,6.6716999999999995,0.21446652612573344,9.263157894736842,4.671270505607399,7.5,3.7064999999999997,0.5042848841280715,46.69444444444444,11.20922947382314,44,7.412999999999999,0.24005488462678942,44.25,9.831073186585481,42,5.1891,0.2221711454595589,19.555555555555557,25.18553376665087,4,5.9304,1.287896613067374,5.580747890610891,1.2658931589340872,5.361704336234109,1.1919370040933814,0.2268321708392954
8,54,291.29411764705884,77.56578991221505,280,71.1648,0.2662799734466187,275.45098039215685,72.92305910354837,264,59.303999999999995,0.26474060466123056,46.588235294117645,32.425407612295785,40,23.7216,0.6959999108699854,62.431372549019606,33.562630946909266,64,35.5824,0.5375923926797652,0.7562896330386507,0.18183228911679117,0.7377351855352915,0.14505142373085445,0.24042679044299223,53.72549019607843,13.093629644025446,51,8.8956,0.24371354446908677,11.833333333333334,6.281899724680695,11,5.9304,0.5308647654659742,47.90196078431372,11.137782368067324,45,8.8956,0.2325120346997272,45.92156862745098,10.825605086561955,42,7.412999999999999,0.23574118676970954,15.843137254901961,25.922478700170327,0,0,1.6361960565701568,6.050317064309206,1.4546583129343293,5.901881484282332,1.1604113898468356,0.24042679044299223
9,36,294.5882352941176,66.27679224834918,284,71.1648,0.22498112384623326,269.6470588235294,63.83400934191038,264,77.09519999999999,0.23673171003762578,47.529411764705884,27.0714378099509,48,23.7216,0.5695723301598581,72.47058823529412,35.50180131504866,64,23.7216,0.48987875191219743,0.7445275461994236,0.10847917860196664,0.7784955467494278,0.10864580386776043,0.1457020350096089,54.11764705882353,11.700206436620533,51.5,10.3782,0.2161994667636403,11.166666666666666,6.143521558752532,9,5.9304,0.5501661097390328,48.1764705882353,10.547067920101298,46.5,9.636899999999999,0.21892570774325038,45.05882352941177,9.905435228137305,42,10.3782,0.21983341890121955,24.941176470588236,28.86220258344665,12,17.7912,1.157210952638191,6.700747915794813,0.9763126074176997,7.006459920744851,0.9778122348098439,0.14570203500960888
10,40,327.52941176470586,82.22225433989513,312,88.95599999999999,0.25103777366706487,308,83.28410667253641,296,100.8168,0.27040294374200136,39.529411764705884,29.603680457220023,32,29.651999999999997,0.7489026306141969,59.05882352941177,43.64105738273382,52,41.5128,0.7389422066797559,0.7597580731115104,0.14385354530577701,0.7471680726626098,0.10995107855936538,0.1893412526919783,55.64705882352941,13.600094368971114,53,15.5673,0.24439915885043226,10.55,5.795444718671682,9.5,5.1891,0.5493312529546618,50.705882352941174,12.750589794474287,48.5,12.6021,0.2514617476868479,48.26470588235294,12.962203384361013,45.5,12.6021,0.26856484769547495,19.529411764705884,32.43290070481427,0,0,1.6607208192224174,7.597580731115104,1.43853545305777,7.471680726626097,1.0995107855936541,0.1893412526919783
11,23,350.1818181818182,90.94406253748791,356,88.95599999999999,0.259705266851601,330.90909090909093,86.00493290997025,320,71.1648,0.25990501703562435,36.36363636363637,22.99181107749837,32,11.8608,0.6322748046312051,55.63636363636363,39.15116668521965,40,11.8608,0.7036974404206147,0.7042113311812946,0.14161673327794697,0.7041581879007035,0.16959387119543565,0.20109976509521493,58.40909090909091,13.510698021899573,55.5,11.119499999999999,0.2313115614644285,10.695652173913043,5.724229067653768,10,5.9304,0.5351921486017751,53.86363636363637,13.590246693669883,51,14.825999999999999,0.25230837743522144,51.45454545454545,13.077524422521451,48.5,11.119499999999999,0.2541568350666713,19.272727272727273,36.25594442975533,0,0,1.8812046638080595,7.746324642994241,1.5577840660574167,7.7457400669077385,1.8655325831497913,0.20109976509521493
12,21,351.6190476190476,94.84222487398542,312,47.4432,0.26973005448993687,343.6190476190476,82.84834107601442,304,47.4432,0.24110520545957637,42.666666666666664,24.83008927356753,40,23.7216,0.581955217349239,50.666666666666664,37.12321825129569,40,23.7216,0.7326950970650465,0.6730590073209192,0.13422198360817772,0.642288120393928,0.1363922054014414,0.1994208266262452,58.76190476190476,16.5284747085288,55,8.8956,0.2812787430138613,9.476190476190476,4.802281203959715,8,4.4478,0.5067733933826835,53.42857142857143,14.988567071509632,50,10.3782,0.2805346778090038,52.42857142857143,13.418537284560596,49,8.8956,0.2559394032477498,8,21.316660151158764,0,0,2.6645825188948455,8.07670808785103,1.6106638032981326,7.707457444727137,1.6367064648172982,0.19942082662624522
