id,condition,area,popping_frame,max_focis,area_focis,first_focis_frame,last_max_focis_frame,first_max_focis_frame,max_focis_duration_frame,max_focis_duration_min,diff_last_max_focis_first_focis_frame,diff_first_max_focis_first_focis_frame,diff_popping_time_first_max_focis_frame,diff_popping_time_last_max_focis_frame,diff_last_max_focis_first_focis_min,diff_first_max_focis_first_focis_min,diff_popping_time_last_max_focis_min,diff_popping_time_first_max_focis_min,bin_prey_area
William-5-09a1327c-8cef-4c8f-9e52-2805b3193132-15,William,4.741475105086835,63,4,1.1853687762717087,28,48,45,3,24,20,17,18,15,160,136,120,144,"[3.64, 6.516]"
William-5-09a1327c-8cef-4c8f-9e52-2805b3193132-18,William,2.844652486215474,42,6,0.474108747702579,9,42,33,9,72,33,24,9,0,264,192,0,72,"[2.053, 3.64)"
William-5-09a1327c-8cef-4c8f-9e52-2805b3193132-19,William,4.291237854617286,53,6,0.715206309102881,15,47,45,2,16,32,30,8,6,256,240,48,64,"[3.64, 6.516]"
William-5-09a1327c-8cef-4c8f-9e52-2805b3193132-20,William,2.445003462798848,60,4,0.611250865699712,11,54,47,7,56,43,36,13,6,344,288,48,104,"[2.053, 3.64)"
William-5-09a1327c-8cef-4c8f-9e52-2805b3193132-24,William,3.1395676059860627,55,5,0.6279135211972126,20,48,44,4,32,28,24,11,7,224,192,56,88,"[2.053, 3.64)"
William-5-09a1327c-8cef-4c8f-9e52-2805b3193132-31,William,3.089248447478636,64,4,0.772312111869659,21,57,56,1,8,36,35,8,7,288,280,56,64,"[2.053, 3.64)"
William-5-09a1327c-8cef-4c8f-9e52-2805b3193132-33,William,3.360746311952547,39,5,0.6721492623905094,10,39,39,0,0,29,29,0,0,232,232,0,0,"[2.053, 3.64)"
William-5-09a1327c-8cef-4c8f-9e52-2805b3193132-35,William,4.405372151205839,56,5,0.8810744302411677,20,51,43,8,64,31,23,13,5,248,184,40,104,"[3.64, 6.516]"
William-5-09a1327c-8cef-4c8f-9e52-2805b3193132-36,William,3.489173770459447,62,3,1.1630579234864824,23,57,49,8,64,34,26,13,5,272,208,40,104,"[2.053, 3.64)"
William-5-32f66e28-a4bd-406d-92a7-74e9835a5bfa-14,William,3.1275306132997343,25,2,1.5637653066498671,8,25,21,4,32,17,13,4,0,136,104,0,32,"[2.053, 3.64)"
William-5-32f66e28-a4bd-406d-92a7-74e9835a5bfa-16,William,2.0525533357949515,57,2,1.0262766678974757,5,57,14,43,344,52,9,43,0,416,72,0,344,"[2.053, 3.64)"
William-5-32f66e28-a4bd-406d-92a7-74e9835a5bfa-17,William,3.04563012864077,60,3,1.0152100428802566,33,56,40,16,128,23,7,20,4,184,56,32,160,"[2.053, 3.64)"
William-5-32f66e28-a4bd-406d-92a7-74e9835a5bfa-21,William,4.6624130810191815,54,7,0.6660590115741688,6,45,45,0,0,39,39,9,9,312,312,72,72,"[3.64, 6.516]"
William-5-32f66e28-a4bd-406d-92a7-74e9835a5bfa-4,William,3.8539537871945004,17,2,1.9269768935972502,4,17,10,7,56,13,6,7,0,104,48,0,56,"[3.64, 6.516]"
William-5-32f66e28-a4bd-406d-92a7-74e9835a5bfa-7,William,2.9996302794116145,43,6,0.49993837990193574,4,42,42,0,0,38,38,1,1,304,304,8,8,"[2.053, 3.64)"
William-5-32f66e28-a4bd-406d-92a7-74e9835a5bfa-8,William,4.262902594367314,66,3,1.4209675314557713,10,59,47,12,96,49,37,19,7,392,296,56,152,"[3.64, 6.516]"
William-5-36df85fc-4865-410f-bee7-c8450c802235-12,William,3.4327816991948685,62,5,0.6865563398389737,15,56,56,0,0,41,41,6,6,328,328,48,48,"[2.053, 3.64)"
William-5-36df85fc-4865-410f-bee7-c8450c802235-2,William,3.477529631557473,62,3,1.159176543852491,28,57,57,0,0,29,29,5,5,232,232,40,40,"[2.053, 3.64)"
William-5-36df85fc-4865-410f-bee7-c8450c802235-4,William,4.208994193641119,56,5,0.8417988387282238,11,51,51,0,0,40,40,5,5,320,320,40,40,"[3.64, 6.516]"
William-5-36df85fc-4865-410f-bee7-c8450c802235-5,William,3.291868466556494,51,6,0.5486447444260824,8,47,47,0,0,39,39,4,4,312,312,32,32,"[2.053, 3.64)"
William-8-6785833d-8fb3-4cb3-9e5c-a0ffd691a96f-11,William,2.807563677414544,44,5,0.5615127354829088,14,43,38,5,40,29,24,6,1,232,192,8,48,"[2.053, 3.64)"
William-8-6785833d-8fb3-4cb3-9e5c-a0ffd691a96f-14,William,3.3960288275928487,47,5,0.6792057655185697,12,44,38,6,48,32,26,9,3,256,208,24,72,"[2.053, 3.64)"
William-8-6785833d-8fb3-4cb3-9e5c-a0ffd691a96f-2,William,3.0651249692811455,50,5,0.6130249938562291,15,43,43,0,0,28,28,7,7,224,224,56,56,"[2.053, 3.64)"
William-8-6785833d-8fb3-4cb3-9e5c-a0ffd691a96f-3,William,4.388995844694241,48,8,0.54862448058678015,8,47,47,0,0,39,39,1,1,312,312,8,8,"[3.64, 6.516]"
William-8-6785833d-8fb3-4cb3-9e5c-a0ffd691a96f-7,William,3.5768331176482153,33,6,0.5961388529413693,7,32,32,0,0,25,25,1,1,200,200,8,8,"[2.053, 3.64)"
William-8-6785833d-8fb3-4cb3-9e5c-a0ffd691a96f-8,William,4.637001969095602,53,5,0.9274003938191203,8,49,48,1,8,41,40,5,4,328,320,32,40,"[3.64, 6.516]"
William-8-6785833d-8fb3-4cb3-9e5c-a0ffd691a96f-9,William,2.924537439101529,38,7,0.41779106272878985,12,36,36,0,0,24,24,2,2,192,192,16,16,"[2.053, 3.64)"
William-8-804d7c22-2747-43ce-90e9-aae25816fed6-2,William,3.0359106060103316,47,4,0.7589776515025829,28,46,46,0,0,18,18,1,1,144,144,8,8,"[2.053, 3.64)"
WT-3-5aae20e2-b623-430c-a2c6-1a46b7cbdcfb-19,WT,2.9202689550394285,53,3,0.9734229850131428,17,47,43,4,32,30,26,10,6,240,208,48,80,"[2.053, 3.64)"
WT-3-5aae20e2-b623-430c-a2c6-1a46b7cbdcfb-2,WT,4.132456535408609,64,4,1.0331141338521523,24,57,53,4,32,33,29,11,7,264,232,56,88,"[3.64, 6.516]"
WT-3-5aae20e2-b623-430c-a2c6-1a46b7cbdcfb-31,WT,4.099782119296469,66,3,1.3665940397654897,27,60,56,4,32,33,29,10,6,264,232,48,80,"[3.64, 6.516]"
WT-3-5aae20e2-b623-430c-a2c6-1a46b7cbdcfb-33,WT,4.596116987663658,61,3,1.532038995887886,5,47,32,15,120,42,27,29,14,336,216,112,232,"[3.64, 6.516]"
WT-3-5aae20e2-b623-430c-a2c6-1a46b7cbdcfb-34,WT,3.1695509835809883,56,4,0.7923877458952471,15,52,52,0,0,37,37,4,4,296,296,32,32,"[2.053, 3.64)"
WT-3-5aae20e2-b623-430c-a2c6-1a46b7cbdcfb-52,WT,2.792243942167376,65,4,0.698060985541844,30,61,59,2,16,31,29,6,4,248,232,32,48,"[2.053, 3.64)"
WT-3-5aae20e2-b623-430c-a2c6-1a46b7cbdcfb-53,WT,2.8554988566858848,56,3,0.9518329522286283,29,53,46,7,56,24,17,10,3,192,136,24,80,"[2.053, 3.64)"
WT-3-5aae20e2-b623-430c-a2c6-1a46b7cbdcfb-54,WT,2.7969669249703477,56,3,0.9323223083234492,10,56,36,20,160,46,26,20,0,368,208,0,160,"[2.053, 3.64)"
WT-3-5aae20e2-b623-430c-a2c6-1a46b7cbdcfb-59,WT,2.9498997671118374,56,3,0.9832999223706125,9,52,51,1,8,43,42,5,4,344,336,32,40,"[2.053, 3.64)"
WT-3-5aae20e2-b623-430c-a2c6-1a46b7cbdcfb-6,WT,3.4316595174033626,57,3,1.143886505801121,20,53,53,0,0,33,33,4,4,264,264,32,32,"[2.053, 3.64)"
WT-3-5aae20e2-b623-430c-a2c6-1a46b7cbdcfb-62,WT,4.249078993717856,75,4,1.062269748429464,24,60,57,3,24,36,33,18,15,288,264,120,144,"[3.64, 6.516]"
WT-3-5aae20e2-b623-430c-a2c6-1a46b7cbdcfb-7,WT,4.362517862048883,70,4,1.0906294655122208,24,55,54,1,8,31,30,16,15,248,240,120,128,"[3.64, 6.516]"
WT-3-5daf08eb-500d-4314-9bf9-f3590b6373ba-14,WT,4.372868077646002,71,4,1.0932170194115005,27,55,55,0,0,28,28,16,16,224,224,128,128,"[3.64, 6.516]"
WT-3-5daf08eb-500d-4314-9bf9-f3590b6373ba-15,WT,4.01323039294659,77,3,1.33774346431553,28,66,62,4,32,38,34,15,11,304,272,88,120,"[3.64, 6.516]"
WT-3-5daf08eb-500d-4314-9bf9-f3590b6373ba-20,WT,5.20348278002472,44,3,1.7344942600082398,24,42,42,0,0,18,18,2,2,144,144,16,16,"[3.64, 6.516]"
WT-3-5daf08eb-500d-4314-9bf9-f3590b6373ba-23,WT,4.649777391578276,58,3,1.5499257971927587,31,50,45,5,40,19,14,13,8,152,112,64,104,"[3.64, 6.516]"
WT-3-5daf08eb-500d-4314-9bf9-f3590b6373ba-30,WT,3.4789893639052636,60,4,0.8697473409763159,32,51,48,3,24,19,16,12,9,152,128,72,96,"[2.053, 3.64)"
WT-3-5daf08eb-500d-4314-9bf9-f3590b6373ba-31,WT,4.724269260045249,56,2,2.3621346300226245,25,55,46,9,72,30,21,10,1,240,168,8,80,"[3.64, 6.516]"
WT-3-5daf08eb-500d-4314-9bf9-f3590b6373ba-48,WT,4.169988425201547,57,3,1.3899961417338489,14,52,43,9,72,38,29,14,5,304,232,40,112,"[3.64, 6.516]"
WT-3-5daf08eb-500d-4314-9bf9-f3590b6373ba-61,WT,3.6436319519212628,74,4,0.9109079879803157,15,56,52,4,32,41,37,22,18,328,296,144,176,"[3.64, 6.516]"
WT-3-5daf08eb-500d-4314-9bf9-f3590b6373ba-65,WT,4.075044529298348,56,2,2.037522264649174,15,55,43,12,96,40,28,13,1,320,224,8,104,"[3.64, 6.516]"
WT-8-3881f795-3130-4be5-9584-463d1853db6f-11,WT,4.386623235362505,47,5,0.8773246470725009,13,46,41,5,40,33,28,6,1,264,224,8,48,"[3.64, 6.516]"
WT-8-3881f795-3130-4be5-9584-463d1853db6f-16,WT,2.989650408584672,43,5,0.5979300817169344,8,43,43,0,0,35,35,0,0,280,280,0,0,"[2.053, 3.64)"
WT-8-3881f795-3130-4be5-9584-463d1853db6f-18,WT,3.8503656260279793,47,7,0.5500522322897113,6,46,46,0,0,40,40,1,1,320,320,8,8,"[3.64, 6.516]"
WT-8-3881f795-3130-4be5-9584-463d1853db6f-2,WT,3.1492682548599595,52,6,0.5248780424766599,7,38,38,0,0,31,31,14,14,248,248,112,112,"[2.053, 3.64)"
WT-8-3881f795-3130-4be5-9584-463d1853db6f-20,WT,4.392139150186866,47,6,0.7320231916978109,10,44,42,2,16,34,32,5,3,272,256,24,40,"[3.64, 6.516]"
WT-8-3881f795-3130-4be5-9584-463d1853db6f-22,WT,4.144083597229302,45,6,0.6906805995382169,9,43,42,1,8,34,33,3,2,272,264,16,24,"[3.64, 6.516]"
